"书名","封面图片地址","出版信息","作者","内容简介","标签信息","标签1","标签2","标签3","标签4","标签5","标签6","标签7","标签8"
"玻璃球游戏","https://img1.doubanio.com/view/subject/l/public/s2623267.jpg","作者:                         [德]            赫尔曼·黑塞                  出版社: 上海译文出版社                                  原作名: The Glass Bead Game              译者:                     张佩芬                  出版年: 2007-07-01              页数: 479              定价: 31.00元              装帧: 平装              丛书: 黑塞文集                          ISBN: 9787532742288","[德]            赫尔曼·黑塞",,"赫尔曼·黑塞                  小说                  黑塞                  德国                  德国文学                  外国文学                  哲学                  文学  ","赫尔曼·黑塞","小说","黑塞","德国","德国文学","外国文学","哲学","文学"
"死缓","https://img3.doubanio.com/view/subject/l/public/s28350352.jpg","作者:                         [法]            路易-费迪南·塞利纳                  出版社: 漓江出版社                                  原作名: Mort à crédit                     译者:                        金龙格                  出版年: 2016-1              页数: 706              定价: 60.00元              装帧: 平装              丛书: 拾珍铺子                          ISBN: 9787540776855","[法]            路易-费迪南·塞利纳",,"法国文学                  小说                  路易·费迪南·塞利纳                  法国                  外国文学                  文学                  塞利纳                  好书，值得一读  ","法国文学","小说","路易·费迪南·塞利纳","法国","外国文学","文学","塞利纳","好书，值得一读"
"盗墓笔记","https://img3.doubanio.com/view/subject/l/public/s4442295.jpg","作者:                     南派三叔                  出版社: 中国友谊出版公司                        副标题: 七星鲁王宫                                  出版年: 2007-1              页数: 265              定价: 26.80元              装帧: 平装              丛书: 盗墓笔记                          ISBN: 9787505722835","南派三叔","五十年前，一群长沙土夫子（盗墓贼）挖到一部战国帛书，残篇中记载了一座奇特的战国古墓的位置，但那群土夫子在地下碰上了诡异事件，几乎全部身亡。","盗墓笔记                  南派三叔                  盗墓                  小说                  悬疑                  惊悚                  中国                  网络小说  ","盗墓笔记","南派三叔","盗墓","小说","悬疑","惊悚","中国","网络小说"
"米格尔街","https://img3.doubanio.com/view/subject/l/public/s26714130.jpg","作者:                         [英]            V·S·奈保尔                  出版社: 南海出版公司                                  原作名: Miguel Street                     译者:                        张琪                  出版年: 2013-7              页数: 199              定价: CNY 28.00              装帧: 精装              丛书: 新经典文库:V.S.奈保尔作品                          ISBN: 9787544261654","[英]            V·S·奈保尔",,"奈保尔                  小说                  外国文学                  诺贝尔文学奖                  英国文学                  英国                  V.S.奈保尔                  文学  ","奈保尔","小说","外国文学","诺贝尔文学奖","英国文学","英国","V.S.奈保尔","文学"
"摩天楼","https://img3.doubanio.com/view/subject/l/public/s29458364.jpg","作者:                        [英] J.G.巴拉德                  出版社: 上海人民出版社              出品方: 世纪文景                        原作名: High-Rise                     译者:                        陈醉                   /                顾君                   /                王卉                  出版年: 2017-6              页数: 272              定价: 45.00元              装帧: 精装                                    ISBN: 9787208139015","世纪文景","实际上，这公寓大楼就是一座垂直的小城。莱恩望向四百码开外的那幢摩天楼。就在刚刚，发生了一场临时停电，7楼的灯全暗了。一片漆黑之中，已经有手电筒的光束在四处移动着，第一次，住户们迷惑地想要探清楚自己身在何处。莱恩心满意足地看着他们，准备欢迎他们去到他们的新世界。","科幻                  巴拉德                  英国                  小说                  英国文学                  科幻小说                  外国文学                  外国小说  ","科幻","巴拉德","英国","小说","英国文学","科幻小说","外国文学","外国小说"
"大教堂","https://img1.doubanio.com/view/subject/l/public/s3405687.jpg","作者:                         [美]            雷蒙德·卡佛                  出版社: 译林出版社                                  原作名: Cathedral              译者:                     肖铁                  出版年: 2009-1              页数: 245              定价: 25.00              装帧: 精装              丛书: 卡佛作品                          ISBN: 9787544706001","[美]            雷蒙德·卡佛",,"雷蒙德·卡佛                  小说                  美国                  美国文学                  外国文学                  大教堂                  卡佛                  RaymondCarver  ","雷蒙德·卡佛","小说","美国","美国文学","外国文学","大教堂","卡佛","RaymondCarver"
"软件体的生命周期","https://img3.doubanio.com/view/subject/l/public/s28033065.jpg","作者:                         [美]            特德·姜                  出版社: 译林出版社                        副标题: 特德·姜科幻小说集              原作名: The Lifecycle of Software Objects                     译者:                        张博然                   /                李克勤                   /                王荣生                   /                耿辉                  出版年: 2015-5              页数: 242              定价: 35.00元              装帧: 精装              丛书: 特德·姜科幻作品                          ISBN: 9787544752466","[美]            特德·姜",,"科幻                  特德·姜                  小说                  科幻小说                  美国                  短篇集                  人工智能问题                  美国文学  ","科幻","特德·姜","小说","科幻小说","美国","短篇集","人工智能问题","美国文学"
"屠夫十字镇","https://img3.doubanio.com/view/subject/l/public/s28712182.jpg","作者:                         [美]            约翰·威廉斯                  出版社: 世纪文景/上海人民出版社              出品方: 世纪文景                        原作名: Butcher's Crossing                     译者:                        李广荣                  出版年: 2016-7              页数: 372              定价: 49.00元              装帧: 精装              丛书: 约翰·威廉斯作品                          ISBN: 9787208137189","[美]            约翰·威廉斯",,"约翰·威廉斯                  小说                  美国文学                  美国                  外国文学                  文学                  外国小说                  2016  ","约翰·威廉斯","小说","美国文学","美国","外国文学","文学","外国小说","2016"
"夏洛克是我的名字","https://img3.doubanio.com/view/subject/l/public/s29449554.jpg","作者:                        [英] 霍华德·雅各布森                  出版社: 未读·北京联合出版公司              出品方: 未读              副标题: 新《威尼斯商人》              原作名: SHYLOCK IS MY NAME                     译者:                        齐彦婧                  出版年: 2017-6-23              页数: 272              定价: 49.80              装帧: 精装              丛书: 霍加斯·莎士比亚经典改写系列                          ISBN: 9787559602275","未读","西蒙·斯特鲁洛维奇，一位犹太裔艺术品经销商，富有却吝啬，众叛亲离。在祭拜母亲的墓园中偶遇夏洛克，并将其请回家中做客。之后像是触发了什么按钮般，斯特鲁洛维奇的生活一下子全乱了：女儿私奔，生意变故，和德·安东——所有人都夸赞他的慷慨——的关系剑拔弩张。","莎士比亚                  外国文学                  小说                  霍华德·雅各布森                  英国                  改编                  未读                  文学  ","莎士比亚","外国文学","小说","霍华德·雅各布森","英国","改编","未读","文学"
"快乐","https://img1.doubanio.com/view/subject/l/public/s29464847.jpg","作者:                         [日]            青山七惠                  出版社: 上海译文出版社                                                   译者:                                岳远坤                  出版年: 2017-6              页数: 238              定价: 38.00              装帧: 精装              丛书: 青山七惠作品                          ISBN: 9787532774227","[日]            青山七惠",,"青山七惠                  日本文学                  日本                  小说                  日本小说                  欲望                  2017                  上海译文出版社  ","青山七惠","日本文学","日本","小说","日本小说","欲望","2017","上海译文出版社"
"京华烟云","https://img1.doubanio.com/view/subject/l/public/s1395779.jpg","作者:                     林语堂                  出版社: 陕西师范大学出版社                                                   译者:                        张振玉                  出版年: 2005-7              页数: 611              定价: 43.00元              装帧: 平装              丛书: 林语堂文集                          ISBN: 9787561334386","林语堂",,"林语堂                  京华烟云                  小说                  中国文学                  经典                  中国                  现代文学                  文学  ","林语堂","京华烟云","小说","中国文学","经典","中国","现代文学","文学"
"我不知道该如何像正常人那样生活","https://img1.doubanio.com/view/subject/l/public/s29087859.jpg","作者:                     徐晚晴                  出版社: 上海文艺出版社 · 豆瓣阅读                                                      出版年: 2016-10              页数: 224              定价: 29.00              装帧: 平装                                    ISBN: 9787532161690","徐晚晴",,"我不知道该如何像正常人那样生活                  小说                  豆瓣阅读                  随笔                  徐晚晴                  中国文学                  ***豆瓣阅读***                  文化  ","我不知道该如何像正常人那样生活","小说","豆瓣阅读","随笔","徐晚晴","中国文学","***豆瓣阅读***","文化"
"芒果街上的小屋","https://img3.doubanio.com/view/subject/l/public/s1668712.jpg","作者:                         [美]            桑德拉·希斯内罗丝                  出版社: 译林出版社              出品方: 全本书店                        原作名: The House on Mango Street              译者:                     潘帕                  出版年: 2006-6              页数: 303              定价: 24.50元              装帧: 平装                                    ISBN: 9787544700177","[美]            桑德拉·希斯内罗丝","《芒果街上的小屋》是一本优美纯净的小书，一本“诗小说”。它由几十个短篇组成，一个短篇讲述一个人、一件事、一个梦想、几朵云，几棵树、几种感觉，语言清澈如流水，点缀着零落的韵脚和新奇的譬喻，如一首首长歌短调，各自成韵，又彼此钩连，汇聚出一个清晰世界，各样杂沓人生。所有的讲述都归于一个叙述中心：居住在芝加哥拉美移民社区芒果街上的女孩埃斯佩朗莎（埃斯佩朗莎，是西班牙语里的希望）。生就对弱的同情心和对美的感觉力，她用清澈的眼打量周围的世界，用美丽稚嫩的语言讲述成长，讲述沧桑，讲述生命的美好与不易，讲述年轻的热望和梦想，梦想着有一所自己的房子，梦想着在写作中追寻自我，获得自由和帮助别人的能力。","芒果街上的小屋                  桑德拉·希斯内罗丝                  外国文学                  成长                  小说                  美国                  文学                  芒果街  ","芒果街上的小屋","桑德拉·希斯内罗丝","外国文学","成长","小说","美国","文学","芒果街"
"老人与海","https://img3.doubanio.com/view/subject/l/public/s1050021.jpg","作者:                         [美]            欧内斯特·海明威                  出版社: 上海译文出版社                                  原作名: The Old Man and the Sea                     译者:                        吴劳                  出版年: 1999-10              页数: 104              定价: 8.20元              装帧: 平装                                    ISBN: 9787532723447","[美]            欧内斯特·海明威","本书讲述了一个渔夫的故事。古巴老渔夫圣地亚哥在连续八十四天没捕到鱼的情况下，终于独自钓上了一条大马林鱼，但这鱼实在大，把他的小船在海上拖了三天才筋疲力尽，被他杀死了绑在小船的一边。在归程中，他再遭到一条鲨鱼的袭击，最后回港时只剩鱼头鱼尾和一条脊骨。而在老圣地亚哥出海的日子里，他的忘年好友一直在海边忠诚地等待，满怀信心地迎接着他的归来。","海明威                  老人与海                  外国文学                  小说                  经典                  美国                  名著                  外国名著  ","海明威","老人与海","外国文学","小说","经典","美国","名著","外国名著"
"五号屠场","https://img1.doubanio.com/view/subject/l/public/s3262447.jpg","作者:                         [美]            库尔特·冯内古特                  出版社: 译林出版社                        副标题: 儿童十字军              原作名: Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death                     译者:                        虞建华                  出版年: 2008-8              页数: 180              定价: 19.80元              装帧: 平装              丛书: 凤凰文库·外国现当代文学系列                          ISBN: 9787544705370","[美]            库尔特·冯内古特","《五号屠场》是一部独特的反战小说。作者在小说中塑造了一个对敌无害、对友无益的患精神分裂症的主人公毕利，通过这个傻乎乎的主人公的独特感受，一方面谴责德国法西斯的残暴，另一方面又抨击了盟国轰炸德累斯顿的野蛮行为，嘲笑人类发动战争是多么愚蠢。","库尔特.冯内古特                  黑色幽默                  小说                  美国                  美国文学                  外国文学                  冯内古特                  科幻  ","库尔特.冯内古特","黑色幽默","小说","美国","美国文学","外国文学","冯内古特","科幻"
"冰与火之歌","https://img3.doubanio.com/view/subject/l/public/s27218035.jpg","作者:                         [美]            乔治·R·R·马丁                  出版社: 重庆出版社                        副标题: （1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂舞）              原作名: A Song of Ice and Fire                     译者:                        谭光磊                   /                屈畅                   /                胡绍晏                  出版年: 2013-10-1              页数: 全五册              定价: 330.00元              装帧: 精装                                    ISBN: 9787223361835","[美]            乔治·R·R·马丁",,"冰与火之歌                  奇幻                  史诗                  小说                  魔幻小说                  乔治·马丁                  外国文学                  冰与火之歌,乔治马丁  ","冰与火之歌","奇幻","史诗","小说","魔幻小说","乔治·马丁","外国文学","冰与火之歌,乔治马丁"
"精神病患","https://img3.doubanio.com/view/subject/l/public/s28725292.jpg","作者:                         [美]            威廉·彼得·布拉蒂                  出版社: 北京时代华文书局                                  原作名: THE NINTH CONFIGURATION                     译者:                        姚向辉                  出版年: 2016-5-16              页数: 196+96              定价: 56.00元              装帧: 精装+全彩笔记本              丛书: 驱魔人系列                          ISBN: 9787569908220","[美]            威廉·彼得·布拉蒂",,"精神病学                  小说                  外国文学                  恐怖                  美国文学                  超自然                  威廉·彼得·布拉蒂                  宗教  ","精神病学","小说","外国文学","恐怖","美国文学","超自然","威廉·彼得·布拉蒂","宗教"
"草原动物园","https://img3.doubanio.com/view/subject/l/public/s29390802.jpg","作者:                     马伯庸                  出版社: 中信出版集团                                                      出版年: 2017-3              页数: 297              定价: 48.00              装帧: 平装                                    ISBN: 9787508665085","马伯庸",,"马伯庸                  小说                  奇幻                  历史奇幻                  我想读这本书                  想读，一定很精彩！                  好书，值得一读                  奇幻小说  ","马伯庸","小说","奇幻","历史奇幻","我想读这本书","想读，一定很精彩！","好书，值得一读","奇幻小说"
"寻欢作乐","https://img3.doubanio.com/view/subject/l/public/s26031482.jpg","作者:                         [英]            威廉·萨默塞特·毛姆                  出版社: 译林出版社                                  原作名: Cakes and Ale                     译者:                        叶尊                  出版年: 2013-2              页数: 251              定价: 29.80元              装帧: 平装              丛书: 百读文库                          ISBN: 9787544728645","[英]            威廉·萨默塞特·毛姆",,"毛姆                  英国文学                  小说                  英国                  外国文学                  文学                  译林出版社                  短篇小说  ","毛姆","英国文学","小说","英国","外国文学","文学","译林出版社","短篇小说"
"维罗妮卡决定去死","https://img3.doubanio.com/view/subject/l/public/s4418702.jpg","作者:                         [巴西]            保罗·柯艾略                  出版社: 南海出版公司                                  原作名: Veronica Decide Morrer                     译者:                        闵雪飞                  出版年: 2010-8              页数: 238              定价: 22.00元              装帧: 平装              丛书: 新经典文库·保罗·柯艾略作品                          ISBN: 9787544247245","[巴西]            保罗·柯艾略","二十四岁的维罗妮卡厌倦了死水般的日子，决定服药自杀。 醒来时，她却发现自己躺在一家精神病院，四肢捆绑、一丝不挂，并且患上严重的心脏病，只剩下最后一周时光。 在与疯人们的相处中，她出乎意料地体验到人生的欢愉和真实的自我，深深爱上梦想成为画家的英俊男子爱德华。生活的热望前所未有地燃烧起来…… 可是，已到尽头的生命如何挽回?","保罗·柯艾略                  小说                  维罗妮卡决定去死                  外国文学                  巴西                  巴西文学                  文学                  PauloCoelho  ","保罗·柯艾略","小说","维罗妮卡决定去死","外国文学","巴西","巴西文学","文学","PauloCoelho"
"遍地风流","https://img3.doubanio.com/view/subject/l/public/s2971805.jpg","作者:                     阿城                  出版社: 作家出版社                                                      出版年: 1998              页数: 245              定价: 12.00              装帧: 平装              丛书: 阿城文集                          ISBN: 9787506315982","阿城",,"阿城                  小说                  中国文学                  遍地风流                  文学                  随笔                  中国                  散文  ","阿城","小说","中国文学","遍地风流","文学","随笔","中国","散文"
"纯真博物馆","https://img3.doubanio.com/view/subject/l/public/s4112273.jpg","作者:                         [土耳其]            奥尔罕·帕慕克                  出版社: 上海人民出版社              出品方: 世纪文景                        原作名: Masumiyet Müzesi                     译者:                        陈竹冰                  出版年: 2010-1              页数: 567              定价: 36.00元              装帧: 平装              丛书: 奥尔罕·帕慕克作品系列                          ISBN: 9787208089884","[土耳其]            奥尔罕·帕慕克",,"奥尔罕·帕慕克                  土耳其                  小说                  外国文学                  爱情                  纯真博物馆                  土耳其文学                  文学  ","奥尔罕·帕慕克","土耳其","小说","外国文学","爱情","纯真博物馆","土耳其文学","文学"
"余生皆假期","https://img3.doubanio.com/view/subject/l/public/s27988705.jpg","作者:                         [日]            伊坂幸太郎                  出版社: 新星出版社                                  原作名: 残り全部バケーション                     译者:                        吕灵芝                  出版年: 2015-2              页数: 244              定价: 28              装帧: 平装              丛书: 午夜文库·日系佳作：伊坂幸太郎系列                          ISBN: 9787513315340","[日]            伊坂幸太郎","因父亲出轨而散伙的一家三口在即将分道扬镳时收到一条交友短信，发信人是打算从黑道退出的小混混冈田——去交一个朋友，完成这项任务，他才能成功脱身。","伊坂幸太郎                  日本                  小说                  日本文学                  推理                  日系推理                  2015                  午夜文库  ","伊坂幸太郎","日本","小说","日本文学","推理","日系推理","2015","午夜文库"
"精神科的故事：在游泳池","https://img1.doubanio.com/view/subject/l/public/s28851079.jpg","作者:                         [日]            奥田英朗                  出版社: 南海出版公司                                  原作名: イン・ザ・プール                     译者:                        王维幸                  出版年: 2016-7              页数: 242              定价: 35.00元              装帧: 平装（内外双封+四联精美书签）              丛书: 新经典文库·奥田英朗作品                          ISBN: 9787544283144","[日]            奥田英朗",,"黑色幽默                  日本文学                  奥田英朗                  我想读这本书                  日本                  小说                  怪医伊良部                  心理学  ","黑色幽默","日本文学","奥田英朗","我想读这本书","日本","小说","怪医伊良部","心理学"
"奇风岁月","https://img3.doubanio.com/view/subject/l/public/s5107054.jpg","作者:                         [美]            罗伯特·麦卡蒙                  出版社: 译林出版社                                  原作名: Boy's Life                     译者:                        陈宗琛                  出版年: 2011-5              页数: 607              定价: 36.00元              装帧: 平装              丛书: 百读文库                          ISBN: 9787544716888","[美]            罗伯特·麦卡蒙",,"小说                  成长                  美国                  罗伯特·麦卡蒙                  悬疑                  外国文学                  美国文学                  奇幻  ","小说","成长","美国","罗伯特·麦卡蒙","悬疑","外国文学","美国文学","奇幻"
"麦琪的礼物","https://img3.doubanio.com/view/subject/l/public/s1137441.jpg","作者:                         [美]            欧·亨利                  出版社: 上海社会科学院出版社              出品方: 99读书人              副标题: 欧·亨利短篇小说经典                        译者:                     张经浩                  出版年: 2003-7              页数: 354              定价: 25.00元              装帧: 平装                                    ISBN: 9787806812297","[美]            欧·亨利","选收欧·亨利的小说34篇，国外当代文学类重要工具书介绍的有代表性的作品均已收入。欧·亨利是位有独特风格的杰出短篇小说家，以巧妙的构思、夸张和幽默的文笔反映了他那个时代的人和事。","欧·亨利                  外国文学                  麦琪的礼物                  小说                  美国                  经典                  名著                  外国名著  ","欧·亨利","外国文学","麦琪的礼物","小说","美国","经典","名著","外国名著"
"且听风吟","https://img1.doubanio.com/view/subject/l/public/s1029019.jpg","作者:                         [日]            村上春树                  出版社: 上海译文出版社                                  原作名: 風の歌を聴け              译者:                     林少华                  出版年: 2001-8              页数: 141              定价: 11.80元              装帧: 平装              丛书: 村上春树文集                          ISBN: 9787532726172","[日]            村上春树","《且听风吟》是村上春树的成名作，他是以这部中篇开始文学创作的。","村上春树                  且听风吟                  日本文学                  小说                  日本                  青春                  文学                  外国文学  ","村上春树","且听风吟","日本文学","小说","日本","青春","文学","外国文学"
"我的名字叫红","https://img3.doubanio.com/view/subject/l/public/s1950252.jpg","作者:                         [土耳其]            奥尔罕·帕慕克                  出版社: 上海人民出版社                                                   译者:                        沈志兴                  出版年: 2006-8              页数: 500              定价: 29.00元              装帧: 平装              丛书: 奥尔罕·帕慕克作品系列                          ISBN: 9787208061750","[土耳其]            奥尔罕·帕慕克","1590年末的伊斯坦布尔，国王苏丹秘密委制一本伟大的书籍，颂扬他的生活与帝国。四位当朝最优秀的细密画家齐聚京城，分工合作，精心绘制这本旷世之作。此时离家12年的青年黑终于回到他的故乡——伊斯坦布尔，迎接他归来的除了爱情，还有接踵而来的谋杀案……","奥尔罕·帕慕克                  我的名字叫红                  土耳其                  小说                  诺贝尔文学奖                  外国文学                  文学                  诺贝尔  ","奥尔罕·帕慕克","我的名字叫红","土耳其","小说","诺贝尔文学奖","外国文学","文学","诺贝尔"
"虚构集","https://img1.doubanio.com/view/subject/l/public/s2958557.jpg","作者:                         [阿根廷]            豪·路·博尔赫斯                  出版社: 浙江文艺出版社                                  原作名: Ficciones                     译者:                        王永年                  出版年: 2008-2              页数: 160              定价: 20.00元              装帧: 精装              丛书: 博尔赫斯作品系列                          ISBN: 9787533925673","[阿根廷]            豪·路·博尔赫斯","《虚构集》是小说集，给博尔赫斯带来巨大声誉。发表于1944年，含《小径分岔的花园》和《杜撰集》。博尔赫斯令人耳目一新的文风得到了最大限度的体现。","博尔赫斯                  小说                  阿根廷                  外国文学                  拉美文学                  文学                  虚构集                  拉美  ","博尔赫斯","小说","阿根廷","外国文学","拉美文学","文学","虚构集","拉美"
"乌克兰拖拉机简史","https://img3.doubanio.com/view/subject/l/public/s9089936.jpg","作者:                         [英]            玛琳娜·柳薇卡                  出版社: 吉林出版集团              出品方: 三辉图书                        原作名: A short History of Tractors in Ukrainian                     译者:                        邵文实                  出版年: 2011-12              页数: 322              定价: 32.00元              装帧: 平装                                    ISBN: 9787546368313","[英]            玛琳娜·柳薇卡",,"小说                  英国                  玛琳娜•柳薇卡                  乌克兰拖拉机简史                  外国文学                  英国文学                  喜剧                  文学  ","小说","英国","玛琳娜•柳薇卡","乌克兰拖拉机简史","外国文学","英国文学","喜剧","文学"
"恶童日记","https://img3.doubanio.com/view/subject/l/public/s3526073.jpg","作者:                         [匈牙利]            雅歌塔·克里斯多夫                  出版社: 上海人民出版社                        副标题: 恶童三部曲1              原作名: Le grand cahier                     译者:                        简伊玲                  出版年: 2009-1              页数: 204              定价: 22.00              装帧: 平装              丛书: 恶童三部曲                          ISBN: 9787208080607","[匈牙利]            雅歌塔·克里斯多夫","一座被外国军队占领的城市，由于粮食短缺，人民生活艰难困苦，一位年轻妇女只好带着双胞胎儿子们投靠住在乡间的母亲。这位“外婆”不仅不识字、骯脏、吝啬、凶恶，甚至是一名凶手。两兄弟在艰困的环境中成长，为了让自己变得坚强，两人每日以互相打骂对方、绝食等各种方式锻炼生存本领。他们将每天发生的事情仔细记载在一本大笔记本中。随着日记一页页被翻开，一场冷酷的梦魇式寓言也逐步呈现。","小说                  匈牙利                  恶童三部曲                  雅歌塔-克里斯多夫                  外国文学                  恶童日记                  匈牙利文学                  外国小说  ","小说","匈牙利","恶童三部曲","雅歌塔-克里斯多夫","外国文学","恶童日记","匈牙利文学","外国小说"
"人·兽·鬼","https://img3.doubanio.com/view/subject/l/public/s1069022.jpg","作者:                     钱钟书                  出版社: 生活·读书·新知三联书店                                                      出版年: 2002-5              页数: 123              定价: 10.00元              装帧: 平装              丛书: 钱锺书集                          ISBN: 9787108016850","钱钟书","《人·兽·鬼》包括《上帝的梦》、《猫》、《灵感》、《纪念》四部短篇小说。","钱钟书                  小说                  钱锺书                  中国文学                  中国                  文学                  幽默                  短篇小说  ","钱钟书","小说","钱锺书","中国文学","中国","文学","幽默","短篇小说"
"克苏鲁神话","https://img3.doubanio.com/view/subject/l/public/s29103582.jpg","作者:                        [美] H.P.洛夫克拉夫特                  出版社: 浙江文艺出版社                                  原作名: Cthulhu Mythos                     译者:                        姚向辉                  出版年: 2016-11-1              页数: 244              定价: 68.00元              装帧: 精装              丛书: 克苏鲁神话                          ISBN: 9787533946142","克苏鲁神话",,"克苏鲁                  奇幻                  恐怖                  小说                  洛夫克拉夫特                  暗黑                  克苏鲁神话                  外国文学  ","克苏鲁","奇幻","恐怖","小说","洛夫克拉夫特","暗黑","克苏鲁神话","外国文学"
"一个人的好天气","https://img3.doubanio.com/view/subject/l/public/s2732804.jpg","作者:                         [日]            青山七惠                  出版社: 上海译文出版社                                  原作名: ひとり日和              译者:                     竺家荣                  出版年: 2007-9              页数: 141              定价: 15.00元              装帧: 平装              丛书: 青山七惠作品                          ISBN: 9787532743513","[日]            青山七惠","《一个人的好天气》描述了一个打零工的女孩如何与年长亲人相处，同时追寻自我、独立的故事，走向自立的一名女孩在工作、生活和恋爱中的种种际遇和心情令人揪心，小说写尽了做一名自由职业者（“飞特族”）的辛酸。内容折射出当前日本的一个社会问题，即许多年轻人不愿投入全职工作而四处打工，宁愿做自由职业者，他们不想长大，不愿担负责任，无法独立，害怕走出去看看这个世界，但是又不知道这种恐惧从何而来。据日本官方统计，15至34岁的短期雇工在1996年到2004年之间翻了一番，达21.4万人。调查也显示，打零工的人收入不稳，结婚生子的机率大减，这对少子化严重的日本来说是一大警讯。作者青山七惠在接受记者采访时说：“我想告诉他们，只要你肯迈出第一步，自然会有出路。”她希望自己的作品能帮助他们“迈出第一步”。","一个人的好天气                  日本文学                  青山七惠                  日本                  小说                  成长                  青春                  芥川龙之介奖  ","一个人的好天气","日本文学","青山七惠","日本","小说","成长","青春","芥川龙之介奖"
"迷宫中的将军","https://img3.doubanio.com/view/subject/l/public/s27734425.jpg","作者:                         [哥伦比亚]            加西亚·马尔克斯                  出版社: 南海出版公司                                  原作名: El general en su laberinto                     译者:                        王永年                  出版年: 2014-11              页数: 238              定价: 39.50元              装帧: 精装              丛书: 新经典文库:加西亚·马尔克斯作品                          ISBN: 9787544274371","[哥伦比亚]            加西亚·马尔克斯","《迷宫中的将军》成书于八十年代末。作者加西亚·马尔克斯与哥伦比亚、墨西哥以及委内瑞拉的历史学家们一起进行了两年的调查。本作品描写了南美解放者西蒙•玻利瓦尔生命中沿着马格达莱纳河幻影般的最后一趟旅程。这趟旅程在信件与各种各样的回忆录中几乎没被提到，这恰好给了作者在历史真实的范围内创作自己的故事的自由。","加西亚·马尔克斯                  拉美文学                  小说                  外国文学                  马尔克斯                  哥伦比亚                  文学                  拉美  ","加西亚·马尔克斯","拉美文学","小说","外国文学","马尔克斯","哥伦比亚","文学","拉美"
"鼠疫","https://img3.doubanio.com/view/subject/l/public/s1679084.jpg","作者:                         [法]            阿尔贝·加缪                  出版社: 译林出版社                        副标题: 插图修订本              原作名: la paste                     译者:                        顾方济                   /                徐志仁                  出版年: 2003-05              页数: 311              定价: 20.00元              装帧: 平装              丛书: 译林世界文学名著·现当代系列                          ISBN: 9787805677316","[法]            阿尔贝·加缪","本书收录了法国现代著名存在主义文学家加缪的两部作品：《鼠疫》与《局外人》。这两部作品同是加缪最重要的代表作，均被列为现代世界文学名著。《局外人》写的是人在荒缪的世界中孤立无援，身不由已；《鼠疫》写的是面临同样的荒唐的生存时，却有着截然不同的态度，而是在艰苦搏斗中感受着人生的幸福。","加缪                  小说                  存在主义                  法国文学                  法国                  外国文学                  鼠疫                  文学  ","加缪","小说","存在主义","法国文学","法国","外国文学","鼠疫","文学"
"变形记","https://img3.doubanio.com/view/subject/l/public/s26042134.jpg","作者:                         [奥地利]            弗朗茨·卡夫卡                  出版社: 浙江文艺出版社                        副标题: 卡夫卡小说                               译者:                                叶廷芳                   /                        赵登荣                  出版年: 2003-4              页数: 189              定价: 16.00元              装帧: 平装              丛书: 经典印象                          ISBN: 9787533917067","[奥地利]            弗朗茨·卡夫卡","1 判决","卡夫卡                  外国文学                  变形记                  荒诞                  小说                  奥地利                  经典                  文学  ","卡夫卡","外国文学","变形记","荒诞","小说","奥地利","经典","文学"
"编舟记","https://img3.doubanio.com/view/subject/l/public/s28041280.jpg","作者:                         [日]            三浦紫苑                  出版社: 上海文艺出版社              出品方: 99读书人                        原作名: 舟を編む                     译者:                        蒋葳                  出版年: 2015-3              页数: 256              定价: 28.00元              装帧: 平装                                    ISBN: 9787532155606","[日]            三浦紫苑",,"三浦紫苑                  日本文学                  日本                  小说                  编舟记                  文学                  编辑                  外国文学  ","三浦紫苑","日本文学","日本","小说","编舟记","文学","编辑","外国文学"
"天龙八部","https://img1.doubanio.com/view/subject/l/public/s23632058.jpg","作者:                     金庸                  出版社: 生活.读书.新知三联书店                                                   译者:                        有1996年11月北平第4次印刷本                  出版年: 1994-5              页数: 1978              定价: 96.0              装帧: 平装              丛书: 金庸作品集（三联版）                          ISBN: 9787108006721","金庸","天龙八部乃金笔下的一部长篇小说，与《射雕》，《神雕》等    几部长篇小说一起被称为可读性最高的金庸小说。《天龙》的故事情节曲折，内容丰富，也曾多次被改编为电视作品。是金庸作品中集大成的一部。故事以南宋末年动荡的社会环境为背景，展开波澜壮阔的历史画卷，塑造了乔峰、段誉、虚竹、慕容复等形象鲜明的人物，成为武侠史上的经典之作。故事精彩纷呈，人物命运悲壮多变，是可读性很强的作品，具有震撼人心的力量","金庸                  武侠                  天龙八部                  小说                  武侠小说                  经典                  中国文学                  中国  ","金庸","武侠","天龙八部","小说","武侠小说","经典","中国文学","中国"
"沧浪之水","https://img3.doubanio.com/view/subject/l/public/s1077712.jpg","作者:                     阎真                  出版社: 人民文学出版社                                                      出版年: 2001-10              页数: 523              定价: 26.00元              装帧: 平装                                    ISBN: 9787020035250","阎真","作者以娓娓而谈的文笔和行云流水般的故事，写出医学研究生池大为空怀壮志、无职无权的苦，时来运转、有名有利的难；在真切地展示他的人生旅程的同时，也把困扰他的人生难题一一解开。","官场                  小说                  沧浪之水                  官场小说                  阎真                  现实                  成长                  中国  ","官场","小说","沧浪之水","官场小说","阎真","现实","成长","中国"
