"书名","封面图片地址","出版信息","作者","内容简介","标签信息","标签1","标签2","标签3","标签4","标签5","标签6","标签7","标签8"
"抬高房梁，木匠们；西摩：小传","https://img1.doubanio.com/view/subject/l/public/s4331838.jpg","作者:                     J·D·塞林格                  出版社: 人民文学出版社              出品方: 99读书人                                         译者:                        丁骏                  出版年: 2009-1              页数: 186              定价: 17.00              装帧: 平装              丛书: J. D. 塞林格作品系列                          ISBN: 9787020066360","J·D·塞林格","在塞林格的经典短篇小说集《九故事》开篇“逮香蕉鱼的最佳日子”里，西摩开枪自杀，给无数读者留下巨大的悬念：西摩为什么自杀？","J.D.塞林格                  塞林格                  小说                  美国                  美国文学                  外国文学                  J.D.Salinger                  文学  ","J.D.塞林格","塞林格","小说","美国","美国文学","外国文学","J.D.Salinger","文学"
"魔鬼詩篇","https://img1.doubanio.com/view/subject/l/public/s3358228.jpg","作者:                         [英]            萨尔曼·鲁西迪                  出版社: 雅言文化                                  原作名: The Satanic Verses                     译者:                        佚名                  出版年: 2002-10-15              页数: 526              定价: 新台币500元              装帧: 平装                                    ISBN: 9789868018013","[英]            萨尔曼·鲁西迪",,"拉什迪                  小说                  魔鬼诗篇                  塞爾曼.鲁西迪                  撒旦诗篇                  禁書                  英国                  外国文学  ","拉什迪","小说","魔鬼诗篇","塞爾曼.鲁西迪","撒旦诗篇","禁書","英国","外国文学"
"时间的女儿","https://img3.doubanio.com/view/subject/l/public/s1214582.jpg","作者:                         [英]            约瑟芬·铁伊                  出版社: 华夏出版社                                  原作名: The Daughter of Time                     译者:                        徐秋華                  出版年: 2003-9-1              页数: 244              定价: 16.00元              装帧: 平装              丛书: 约瑟芬·铁伊全集                          ISBN: 9787508031590","[英]            约瑟芬·铁伊","一部独一无二的历史推理小说，甚至很「不像」一本推理小说。小说中所谓的案件是英国历史上一宗家喻户晓的故事：理查三世为了纂取王位，谋杀了囚禁在伦敦塔中的两个小王子。嫌犯的「罪行」令人发指，更令人深思。但是病床上的格兰特探长却根据他缜密的推理，一举推翻了流传四百年之久的历史定论，并告诉我们：事情的真相未必就是你听来、看来的那样！","推理                  约瑟芬・铁伊                  英国                  小说                  推理小说                  历史                  推理中的经典                  外国文学  ","推理","约瑟芬・铁伊","英国","小说","推理小说","历史","推理中的经典","外国文学"
"九州·缥缈录","https://img1.doubanio.com/view/subject/l/public/s1520169.jpg","作者:                     江南                  出版社: 新世界出版社                                                      出版年: 2005-6              页数: 249              定价: 20.00元              装帧: 平装              丛书: 九州书系                          ISBN: 9787801876942","江南","当这个世界都要崩溃；当星辰和阳光也熄灭，当马蹄踏过弱者的尸骨，当黑暗的血色吞噬人心，不死的鹰再次降落在草原，英雄还在哭泣，在铁铸的摇篮中成长……《九州·缥缈录》的故事就发生在这里，游牧部落内部的权力争夺激烈，青阳与东陆王朝间恩怨重重。这是乱世的英雄史诗，当古老的王朝日渐衰微，掌管着星辰命运的神秘宗教走入了政治斗争的漩涡，年轻的王朝继承者崭露出耀眼的锋芒。","九州                  江南                  缥缈录                  奇幻                  小说                  中国                  奇幻小说                  经典  ","九州","江南","缥缈录","奇幻","小说","中国","奇幻小说","经典"
"人间喜剧 第一卷","https://img3.doubanio.com/view/subject/l/public/s1236432.jpg","作者:                         [法]            巴尔扎克                  出版社: 人民文学出版社                                                   译者:                        丁世中，郑永慧，袁树仁                  出版年: 1997-08              页数: 542              定价: 28.50              装帧: 精装              丛书: 人间喜剧                          ISBN: 9787020018888","[法]            巴尔扎克","奥诺雷·巴尔扎克（1799一1850）是十九世纪法国最伟大的小说家，塑造典型的巨匠，举世公认的现实主义大师。他以二十年的辛勤工作，创造了《人间喜剧》这一小说史上的奇迹。他将九十余部篇幅不等的小说联成一体，构成了一幅完整的、包罗万象的社会风俗画，“提供了一部法国‘社会’特别是巴黎‘上流社会’的卓越的现实主义历史，”①使通常被视为供人消遣的小说一变而具有文献的价值。巴尔扎克的全部作品证明，他富有独创性","巴尔扎克                  人间喜剧                  小说                  法国文学                  外国文学                  法国                  文学                  经典  ","巴尔扎克","人间喜剧","小说","法国文学","外国文学","法国","文学","经典"
"北京，北京","https://img3.doubanio.com/view/subject/l/public/s2821241.jpg","作者:                     冯唐                  出版社: 重庆出版社                                                      出版年: 2007-11              页数: 233              定价: 23.80元              装帧: 精装                                    ISBN: 9787536691452","冯唐","《北京北京》，是冯唐“万物生长三部曲”的第三部，情节与风格都一脉相承。由青春步入成熟，从萌动收获迷惘，浓重的男性荷尔蒙是冯唐作品一贯最大的特色。","冯唐                  小说                  北京北京                  青春                  北京                  中国文学                  流氓姑娘看流文                  中国  ","冯唐","小说","北京北京","青春","北京","中国文学","流氓姑娘看流文","中国"
"在少女花影下","https://img3.doubanio.com/view/subject/l/public/s4387270.jpg","作者:                         [法]            马塞尔·普鲁斯特            / 绘者                        [荷]                    凡·东恩                   出版社: 人民文学出版社                        副标题: 追寻逝去的时光 第二卷              原作名: À la recherche du temps perdu Ⅱ À l'ombre des jeunes filles en fleurs                     译者:                        周克希                  出版年: 2010-6              页数: 544              定价: 55.00元              装帧: 平装              丛书: 追寻逝去的时光                          ISBN: 9787020078431","[法]            马塞尔·普鲁斯特","重现20世纪初巴黎风华，令任何风格都黯然失色！","普鲁斯特                  小说                  法国                  意识流                  法国文学                  周克希                  外国文学                  文学  ","普鲁斯特","小说","法国","意识流","法国文学","周克希","外国文学","文学"
"44号孩子","https://img1.doubanio.com/view/subject/l/public/s4386369.jpg","作者:                         [英]            汤姆·罗伯·史密斯                  出版社: 江苏文艺出版社                        副标题: 一个如同俄罗斯狼一般残酷的故事              原作名: Child 44                     译者:                        杨凤妍                  出版年: 2010-6              页数: 383              定价: 29.80              装帧: 平装              丛书: 苏联暗黑时代三部曲                          ISBN: 9787539937946","[英]            汤姆·罗伯·史密斯","这是一个被宣称没有犯罪的天堂，但生活在“天堂”里的人们却不知道，自己何时就会跌入地狱。里奥，“天堂”最忠诚、勇敢的卫士，为了它，可以奉献自己的生命，为了它，可以奉献别人的生命。然而，在目睹了无辜的人被审讯，自己的妻子受到牵连，甚至一个又一个年幼的生命暴尸荒野，国家却坚决不承认这是犯罪之后，他的信念发生崩塌！他决定不顾一切寻求真相，过程中，他惊讶地发现，真正的危险不是来自谋杀者，而是来自他一心保护的国家……","悬疑                  小说                  英国                  汤姆·罗伯·史密斯                  推理                  外国文学                  44号孩子                  推理小说  ","悬疑","小说","英国","汤姆·罗伯·史密斯","推理","外国文学","44号孩子","推理小说"
"幻灭","https://img1.doubanio.com/view/subject/l/public/s2326897.jpg","作者:                         [法]            巴尔扎克                  出版社: 人民文学出版社                                  原作名: Les illusions perdues              译者:                     傅雷                  出版年: 1989-9              页数: 717              定价: 29.00元              装帧: 平装              丛书: 巴尔扎克选集                          ISBN: 9787020007820","[法]            巴尔扎克","内容说明","巴尔扎克                  小说                  法国文学                  外国文学                  法国                  傅雷                  幻灭                  经典  ","巴尔扎克","小说","法国文学","外国文学","法国","傅雷","幻灭","经典"
"米娅，快跑","https://img3.doubanio.com/view/subject/l/public/s6498053.jpg","作者:                     秦与希                  出版社: 北京大学出版社                                                      出版年: 2009-4              页数: 234              定价: 28.00              装帧: 平装                                    ISBN: 9787301150672","秦与希","这是一部奇特有趣的女性职场小说，不陷入目前市场上任何一部职场小说的窠臼，不大惊小怪地描述外企优越感，不涉及耸人听闻的职场阴谋，不触碰自说自话的情感纠葛……","职场                  职场小说                  小说                  女性                  米娅，快跑                  励志                  成长                  温暖自己  ","职场","职场小说","小说","女性","米娅，快跑","励志","成长","温暖自己"
